,,,,,,惩罚tag,加分tag,,,,,
1-1,简约,可爱,活泼,清纯,清凉,古典不可?,运动？,花瓣雨＊粉,,,,
,1,2,3,2,1,,,,,,,"'1-1': [1, 2, 3, 2, 1],"
1-2,简约,可爱,优雅,清纯,保暖,,居家不加分,,,,,
,3,1.5,3,3,1,,,,,,,"'1-2': [3, 1.5, 3, 3, 1],"
1-3,华丽,成熟,优雅,清纯,清凉,中式古典/中式现代/旗袍/民国服饰,仅中式古典,,,,,
,2,1,3,2,1,,,,,,,"'1-3': [2, 1, 3, 2, 1],"
1-4,简约,成熟,优雅,性感,保暖,要求ol实则未必,ol不加分,作曲家,,,,
,2,3,2,1,1,,,,,,,"'1-4': [2, 3, 2, 1, 1],"
1-5,华丽,可爱,活泼,性感,清凉,,,,,,,
,1,3,2,2,1,,,,,,,"'1-5': [1, 3, 2, 2, 1],"
1-6,简约,可爱,优雅,清纯,清凉,,,川流,鸢尾短裙,,,
,2,1,2,3,1,,,,,,,"'1-6': [2, 1, 2, 3, 1],"
1-7,简约,成熟,优雅,清纯,清凉,中性风,中性风,律政佳人*金,白翩语,1.1?,,
,3,2,2,1,1,,,,,,,"'1-7': [3, 2, 2, 1, 1],"
1-8,华丽,成熟,优雅,性感,清凉,,,夜阑珊,,,,
,1,2,2,3,1,,,,,,,"'1-8': [1, 2, 2, 3, 1],"
1-9,华丽,成熟,活泼,性感,清凉,,,,,1.2?,,
,1,2,2,3,1,,,,,,,"'1-9': [1, 2, 2, 3, 1],"
2-1,华丽,可爱,活泼,清纯,清凉,要求童话系实则未必,童话不加分,锦心,,,,
,2,3,1,2,1,,,,,,,"'2-1': [2, 3, 1, 2, 1],"
2-2,简约,可爱,活泼,清纯,保暖,,,默认粉毛,,,,
,3,1,2,2,1,,,,,,,"'2-2': [3, 1, 2, 2, 1],"
2-3,简约,成熟,优雅,性感,保暖,要求ol实则未必,ol不加分,作曲家,,,,
,2,2,3,1,1,,,,,,,"'2-3': [2, 2, 3, 1, 1],"
2-4,简约,可爱,活泼,清纯,保暖,,,默认粉毛,,,,
,1,2,1,2,3,,,,,,,"'2-4': [1, 2, 1, 2, 3],"
2-5,简约,成熟,活泼,清纯,保暖,,,,,,,
,2,2,3,1,1,,,,,,,"'2-5': [2, 2, 3, 1, 1],"
2-6,华丽,可爱,优雅,清纯,清凉,浴衣,浴衣,,,1.2,,
,1,3,2,2,1,,,默认粉毛,,,,"'2-6': [1, 3, 2, 2, 1],"
2-7,简约,可爱,活泼,清纯,保暖,睡衣，但是战魂会F,睡衣无视属性给SS,,,,,
,1,2,2,1,3,,,,,,,"'2-7': [1, 2, 2, 1, 3],"
2-8,华丽,可爱,优雅,清纯,清凉,,,,,,,
,2,2,2,2,1,,,,,,,"'2-8': [2, 2, 2, 2, 1],"
2-9,华丽,成熟,优雅,性感,清凉,欧式古典，晚礼服，女神系，波西米亚。但是白橄榄素裙会F,欧式古典,夜阑珊,,,,
,3,2,2,1,1,,,,,,,"'2-9': [3, 2, 2, 1, 1],"
2-支1,华丽,成熟,优雅,性感,保暖,欧式,,,,,,
,3,2,2,1,1,,,,,,,"'2-支1': [3, 2, 2, 1, 1],"
2-支2,简约,成熟,优雅,清纯,清凉,中性风,中性风 每一权重固定给A,,,,,
,2,2,3,1,1,,,,,,,"'2-支2': [2, 2, 3, 1, 1],"
3-1,简约,成熟,优雅,清纯,清凉,英伦，名媛连衣裙，小满制服*蓝会F,英伦，名媛连衣裙,律政佳人*金,白翩语,,,
,2,1,3,2,1,,,,,,,"'3-1': [2, 1, 3, 2, 1],"
3-2,华丽,成熟,活泼,性感,清凉,摇滚风,摇滚风 每一权重固定给B,,,,,
,4,1,2,2,1,,,,,,,"'3-2': [4, 1, 2, 2, 1],"
3-3,简约,成熟,优雅,清纯,保暖,,,罗织红纱,暮歌*棕,,,
,2,3,2,1,1,,,,,,,"'3-3': [2, 3, 2, 1, 1],"
3-4,简约,可爱,优雅,清纯,清凉,森女系列,森女系列,川流,鸢尾短裙,,,
,2,1,2,3,1,,,,,,,"'3-4': [2, 1, 2, 3, 1],"
3-5,简约,可爱,活泼,清纯,清凉,运动系，名字里带运动也可以,运动系不加分,花瓣雨＊粉,,,,
,2,1,3,1,2,,,,,,,"'3-5': [2, 1, 3, 1, 2],"
3-6,简约,可爱,活泼,性感,清凉,沐浴，和风，F则1/160,沐浴无视属性给SS，和风无视属性给S,冬霜雪,,,,
,2,2,1,1,3,,,,,,,"'3-6': [2, 2, 1, 1, 3],"
3-7,华丽,可爱,优雅,清纯,清凉,运动系,,,,,,
,2,2,2,1,1,,,,,,,"'3-7': [2, 2, 2, 1, 1],"
3-8,简约,可爱,活泼,清纯,清凉,,,花瓣雨＊粉,,,,
,2,1,3,1,2,,,,,,,"'3-8': [2, 1, 3, 1, 2],"
3-9,简约,成熟,优雅,性感,清凉,侠客联盟，摇滚风，部分侠客联盟会F,侠客联盟,夜无边,,,,
,2,1,2,3,1,,,,,,,"'3-9': [2, 1, 2, 3, 1],"
3-10,华丽,可爱,活泼,清纯,清凉,,小动物,锦心,,,,
,1,3,2,2,1,,,,,,,"'3-10': [1, 3, 2, 2, 1],"
3-11,华丽,成熟,优雅,性感,清凉,欧式古典，晚礼服，女神系，波西米亚。但是白橄榄素裙会F,欧式古典 每一权重固定给B,夜阑珊,,,,
,3,2,2,2,1,,,,,,,"'3-11': [3, 2, 2, 2, 1],"
3-12,简约,可爱,活泼,清纯,保暖,,运动系,,,,,
,2,1,3,1,2,,,,,,,"'3-12': [2, 1, 3, 1, 2],"
3-支1,华丽,成熟,优雅,清纯,保暖,欧式古典，晚礼服，女神系，波西米亚，婚纱,欧式古典,,,,,
,3,2,2,1,1,,,,,,,"'3-支1': [3, 2, 2, 1, 1],"
3-支2,华丽,成熟,优雅,性感,清凉,婚纱,婚纱无视属性给SS,夜阑珊,,,,
,3,1,2,1,2,,,,,,,"'3-支2': [3, 1, 2, 1, 2],"
4-1,简约,可爱,活泼,清纯,保暖,,,默认粉毛,,,,
,3,1,2,1,3,,,,,,,"'4-1': [3, 1, 2, 1, 3],"
4-2,简约,可爱,活泼,清纯,清凉,必须泳装，否则得分1/32,泳装似乎只有可爱清纯额外给每一权重SS,红豆吻,,,,
,0.2,3,0.2,3,0.2,,,,,,,"'4-2': [0.2, 3, 0.2, 3, 0.2],"
4-3,简约,成熟,活泼,性感,清凉,必须泳装，否则得分1/32,泳装似乎只有成熟性感额外给每一权重SS,,,,,
,0.2,3,0.2,3,0.2,,,,,,,"'4-3': [0.2, 3, 0.2, 3, 0.2],"
4-4,简约,可爱,优雅,清纯,清凉,,,川流,鸢尾短裙,,,
,1,2,2,3,1,,,,,,,"'4-4': [1, 2, 2, 3, 1],"
4-5,简约,成熟,活泼,清纯,清凉,,防晒,,,,,
,2,1,2,1,3,,,,,,,"'4-5': [2, 1, 2, 1, 3],"
4-6,华丽,成熟,优雅,性感,保暖,OL,,,,,,
,1,2,3,2,1,,,,,,,"'4-6': [1, 2, 3, 2, 1],"
4-7,华丽,成熟,优雅,清纯,保暖,欧式古典，晚礼服，女神系，波西米亚，婚纱,,,,,,
,3,1,2,2,1,,,,,,,"'4-7': [3, 1, 2, 2, 1],"
4-8,简约,可爱,活泼,性感,清凉,医务使者,医务使者，无视属性给S,冬霜雪,,,,
,3,2,2,1,1,,,,,,,"'4-8': [3, 2, 2, 1, 1],"
4-9,简约,成熟,优雅,清纯,清凉,中式古典/中式现代/旗袍/民国,中式古典每一权重加B,律政佳人*金,白翩语,,,
,2,1,3,2,1,,,,,,,"'4-9': [2, 1, 3, 2, 1],"
4-10,简约,可爱,活泼,清纯,清凉,,,花瓣雨＊粉,,,,
,1,2,3,2,1,,,,,,,"'4-10': [1, 2, 3, 2, 1],"
4-11,简约,成熟,优雅,性感,清凉,,,夜无边,,,,
,2,2,3,1,1,,,,,,,"'4-11': [2, 2, 3, 1, 1],"
4-12,简约,可爱,活泼,性感,清凉,兔女郎,兔女郎无视属性SS,冬霜雪,,,,
,2,3,3,2,1,,,,,,,"'4-12': [2, 3, 3, 2, 1],"
4-支1,华丽,可爱,活泼,清纯,清凉,,,锦心,,,,
,1,3,2,2,1,,,,,,,"'4-支1': [1, 3, 2, 2, 1],"
4-支2,简约,可爱,活泼,清纯,清凉,围裙,围裙,花瓣雨＊粉,,,,
,3,2,2,1,1,,,,,,,"'4-支2': [3, 2, 2, 1, 1],"
4-支3,简约,可爱,活泼,性感,保暖,围裙,围裙,,,,,
,2,2,3,1,1,,,,,,,"'4-支3': [2, 2, 3, 1, 1],"
5-1,简约,可爱,活泼,清纯,清凉,运动系，名字里带运动也可以,,花瓣雨＊粉,,,,
,2,1,3,1,2,,,,,,,"'5-1': [2, 1, 3, 1, 2],"
5-2,简约,成熟,优雅,清纯,清凉,,,律政佳人*金,白翩语,,,
,3,2,2,1,1,,,,,,,"'5-2': [3, 2, 2, 1, 1],"
5-3,华丽,成熟,优雅,清纯,清凉,,,,,,,
,3,2,2,1,1,,,,,,,"'5-3': [3, 2, 2, 1, 1],"
5-4,华丽,成熟,优雅,性感,清凉,鬼姬冥花系列，枫女忍系列,鬼姬冥花系列，枫女忍系列，每一权重加SS,夜阑珊,,,,
,2,1,2,3,2,,,,,,,"'5-4': [2, 1, 2, 3, 2],"
5-5,华丽,可爱,优雅,清纯,清凉,,女仆装，每一权重加A,,,,,
,3,2,2,1,1,,,,,,,"'5-5': [3, 2, 2, 1, 1],"
5-6,简约,可爱,优雅,清纯,保暖,民国服饰,,,,,,
,3,1,2,2,1,,,,,,,"'5-6': [3, 1, 2, 2, 1],"
5-7,华丽,可爱,活泼,清纯,清凉,波西米亚,波西米亚，无视属性给SS,锦心,,,,
,1,1,2,2,1,,,,,,,"'5-7': [1, 1, 2, 2, 1],"
5-8,简约,成熟,优雅,清纯,保暖,,,罗织红纱,暮歌*棕,,,
,2,1,2,1,3,,,,,,,"'5-8': [2, 1, 2, 1, 3],"
5-9,华丽,成熟,优雅,性感,清凉,,,夜阑珊,,,,
,3,2,2,1,1,,,,,,,"'5-9': [3, 2, 2, 1, 1],"
5-10,华丽,可爱,优雅,清纯,清凉,,,,,,,
,3,2,2,1,1,,,,,,,"'5-10': [3, 2, 2, 1, 1],"
5-11,简约,成熟,活泼,性感,清凉,侠客联盟,侠客联盟，无视属性给SS,,,,,
,2,1,3,2,1,,,,,,,"'5-11': [2, 1, 3, 2, 1],"
5-12,简约,可爱,优雅,清纯,保暖,中式古典/中式现代/旗袍/民国服饰,民国服饰每一权重加SS,,,,,
,2,1,3,2,1,,,,,,,"'5-12': [2, 1, 3, 2, 1],"
5-支1,简约,可爱,优雅,清纯,保暖,未知，但是暖秋黄会F,冬装,,,,,
,1,2,1,2,3,,,,,,,"'5-支1': [1, 2, 1, 2, 3],"
5-支2,简约,可爱,活泼,清纯,清凉,运动系? 可能还有别的,,花瓣雨＊粉,,,,
,2,2,1,3,1,,,,,,,"'5-支2': [2, 2, 1, 3, 1],"
5-支3,简约,可爱,优雅,性感,清凉,医务使者,医务使者，无视属性给SS,,,,,
,2,1,3,2,1,,,,,,,"'5-支3': [2, 1, 3, 2, 1],"
6-1,华丽,可爱,活泼,清纯,保暖,,碎花,夜华章,,,,
,2,3,1,2,1,,,,,,,"'6-1': [2, 3, 1, 2, 1],"
6-2,简约,成熟,优雅,清纯,清凉,中式古典/中式现代/旗袍/民国服饰,中式古典,律政佳人*金,白翩语,,,
,2,1,3,2,1,,,,,,,"'6-2': [2, 1, 3, 2, 1],"
6-3,华丽,可爱,优雅,清纯,清凉,和风,和风，每一权重固定加B/2,,,,,
,1,2,1,3,2,,,,,,,"'6-3': [1, 2, 1, 3, 2],"
6-4,简约,可爱,活泼,清纯,保暖,,,,,,,
,2,3,2,1,1,,,,,,,"'6-4': [2, 3, 2, 1, 1],"
6-5,华丽,可爱,活泼,清纯,清凉,,,锦心,,,,
,2,3,2,1,1,,,,,,,"'6-5': [2, 3, 2, 1, 1],"
6-6,简约,可爱,活泼,清纯,清凉,中性风,,花瓣雨＊粉,,,,
,3,1,2,2,1,,,,,,,"'6-6': [3, 1, 2, 2, 1],"
6-7,华丽,可爱,活泼,清纯,清凉,,中式现代，每一权重给S/4,锦心,,,,
,1,3,2,2,1,,,,,,,"'6-7': [1, 3, 2, 2, 1],"
6-8,简约,成熟,优雅,性感,清凉,中式现代、泳装,"泳装无视属性给SS，
中式现代可能无视属性给B，和泳装可以叠加
",夜无边,,,,
,1,1,3,2,2,,,,,,,"'6-8': [1, 1, 3, 2, 2],"
6-9,华丽,成熟,优雅,性感,清凉,旗袍，少数中式古典,旗袍，每一权重给B,夜阑珊,,,,
,1,2,3,2,1,,,,,,,"'6-9': [1, 2, 3, 2, 1],"
6-10,华丽,可爱,优雅,清纯,保暖,中式现代、冬装,中式现代每一权重加SS，冬装每一权重加S,,,,,
,1,2,1,1,1,,,,,,,"'6-10': [1, 2, 1, 1, 1],"
6-11,简约,成熟,优雅,清纯,清凉,中式古典/中式现代/旗袍/民国服饰,中式古典每一权重加B,律政佳人*金,白翩语,,,
,2,1,3,2,1,,,,,,,"'6-11': [2, 1, 3, 2, 1],"
6-支1,华丽,成熟,优雅,性感,清凉,,,夜阑珊,,,,
,2,1,3,2,1,,,,,,,"'6-支1': [2, 1, 3, 2, 1],"
6-支2,华丽,可爱,活泼,清纯,清凉,,,锦心,,,,
,3,2,1,1,2,,,,,,,"'6-支2': [3, 2, 1, 1, 2],"
6-支3,华丽,成熟,活泼,性感,清凉,,,,,,,
,2,3,1,1,2,,,,,,,"'6-支3': [2, 3, 1, 1, 2],"
7-1,简约,成熟,优雅,性感,清凉,,,,,,,
,2,3,3,2,1.5,,,,,,,"'7-1': [2, 3, 3, 2, 1.5],"
7-2,华丽,成熟,优雅,清纯,保暖,只有少数几件衣服可以不F,,,,,,
,3,2,3,3,2,,,,,,,"'7-2': [3, 2, 3, 3, 2],"
7-3,简约,成熟,活泼,性感,清凉,,,,,,,
,3,2,2,3,3,,,,,,,"'7-3': [3, 2, 2, 3, 3],"
7-4,华丽,成熟,优雅,清纯,保暖,,中式古典每一权重加S,,,,,
,1,2,2,1.5,1,,,,,,,"'7-4': [1, 2, 2, 1.5, 1],"
7-5,简约,可爱,活泼,清纯,清凉,,,,,,,
,3,2,3,2,2,,,,,,,"'7-5': [3, 2, 3, 2, 2],"
7-6,华丽,成熟,优雅,清纯,清凉,,"晚礼服和中式现代，分别按照权重增加：
B, SS, B, C, C",,,,,
,2,1,2,1.5,1.5,,,,,,,"'7-6': [2, 1, 2, 1.5, 1.5],"
7-7,华丽,成熟,优雅,性感,清凉,1/150,晚礼服无视属性给B，欧式古典无视属性给B，两者叠加,,,,,
,3,3,2,2,1,,,,,,,"'7-7': [3, 3, 2, 2, 1],"
7-8,简约,成熟,活泼,性感,清凉,,中式古典无视属性给B，侠客联盟无视属性给A，两者叠加,,,,,
,3,2,3,2,1,,,,,,,"'7-8': [3, 2, 3, 2, 1],"
7-9,简约,成熟,活泼,清纯,保暖,,冬装每一权重加A,,,,,
,2,3,1.5,2,3,,,,,,,"'7-9': [2, 3, 1.5, 2, 3],"
7-支1,简约,成熟,优雅,清纯,清凉,,,,,,,
,2,3,3,2,2,,,,,,,"'7-支1': [2, 3, 3, 2, 2],"
7-支2,简约,可爱,优雅,清纯,清凉,,,,,,,
,2,3,3,2,1.5,,,,,,,"'7-支2': [2, 3, 3, 2, 1.5],"
7-支3,简约,成熟,活泼,性感,清凉,,,,,,,
,1,1,1,1,1,,,,,,,"'7-支3': [1, 1, 1, 1, 1],"
7-支4,简约,可爱,优雅,清纯,清凉,,,,,,,
,1,1,1,1,1,,,,,,,"'7-支4': [1, 1, 1, 1, 1],"
7-支5,简约,可爱,活泼,清纯,清凉,,,,,,,
,1,1,1,1,1,,,,,,,"'7-支5': [1, 1, 1, 1, 1],"
 仲夏夜之梦1,华丽,可爱,活泼,清纯,清凉,,童话系每一权重加S,,,,,
,0.75,0.5,0.5,0.75,0.5,,,,,,,
 仲夏夜之梦2,华丽,可爱,优雅,清纯,清凉,,和风无视属性给SS,,,,,
,1,1.5,1.5,1,1,,,,,,,
 仲夏夜之梦3,华丽,可爱,活泼,性感,清凉,,,,,,,
,1,1.5,1,1.5,1,,,,,,,
 仲夏夜之梦4,华丽,成熟,活泼,性感,保暖,,摇滚无视属性给S,,,,,
,1,1,1.5,1.5,1,,,,,,,
 仲夏夜之梦5,简约,可爱,活泼,清纯,保暖,,睡衣无视属性给S,,,,,
,1,1.5,1,1,1.5,,,,,,,